,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
                          Federal  , -   , -   , -   , -   , -   , -   ,351,786,882,"1,120","1,423","1,882","2,063","2,065","2,404","2,747","3,568","3,708","3,875","4,347","5,018","6,028","6,423","7,075","7,578","7,931","8,723","9,707","10,975","12,505","15,861","24,955","31,651","34,615","35,592","36,732","37,868","37,762","38,079","40,966","42,831","47,179","50,989","55,559","59,696","61,070","63,016","68,606","74,283","90,629","99,086","92,161","91,114","94,343"
                          State and Local, -   , -   , -   , -   , -   , -   ,375,838,821,912,"1,224","1,434","1,675","1,926","1,822","2,267","2,198","2,893","3,133","3,427","4,196","5,034","5,360","5,872","6,383","6,693","7,240","8,066","8,737","9,764","10,801","11,590","12,290","14,843","18,079","20,068","21,003","21,868","23,708","25,948","28,371","30,518","33,862","35,171","38,001","43,743","47,134","50,781","50,949","46,324","47,954","57,600","65,430","69,190"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,149,465,932,"1,389","1,813","2,053","2,611","2,662","2,352","2,650","3,136","3,215","3,179","3,324","3,435","3,478"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,103,324,645,958,"1,246","1,411","1,783","1,813","1,601","1,811","2,152","2,224","2,189","2,293","2,364","2,389"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,47,141,287,432,568,641,828,850,751,839,984,991,990,"1,031","1,072","1,089"
         Department of Defense,543,559,533,542,508,519,684,869,988,"1,020","1,067","1,182","1,325","1,519","1,708","1,797","1,852","2,000","2,220","2,517","2,819","3,275","3,694","3,887","4,200","4,917","5,441","5,828","6,034","6,310","7,053","7,815","7,847","8,173","7,855","7,963","7,629","7,617","7,579","7,434","7,641","8,047","9,036","10,377","11,447","12,008","12,890","13,702","14,216","15,623","16,580","17,163","16,712","16,440"
         Department of Veterans Affairs,810,842,867,918,957,"1,004","1,021","1,110","1,165","1,287","1,504","1,721","1,979","2,288","2,498","2,886","3,452","3,561","4,151","4,328","4,879","5,297","5,804","6,144","6,637","6,770","7,031","7,346","7,650","8,096","8,749","9,437","9,990","10,744","11,436","11,541","11,836","11,454","11,771","12,475","13,304","14,394","15,206","17,382","17,972","19,134","20,938","22,554","26,104","28,320","30,464","31,385","32,666","34,515"
     Other Third Party Payers and Programs,"2,578","2,810","2,970","3,293","3,448","3,728","3,714","3,542","4,054","4,581","5,306","5,751","6,385","6,944","7,915","8,665","9,690","10,382","11,618","12,991","15,066","17,334","19,091","19,755","20,081","21,915","25,227","27,543","30,474","30,720","32,459","34,219","35,172","36,198","37,343","36,885","37,682","39,904","42,522","43,411","44,022","44,973","46,827","52,222","54,351","57,279","63,014","68,713","65,890","71,153","77,386","81,044","87,414","95,559"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues,110,134,157,190,224,261,314,392,510,640,881,"1,015","1,178","1,152","1,302","1,424","2,313","2,449","2,949","3,376","5,066","6,065","6,942","7,269","7,322","8,263","9,029","9,641","11,258","10,596","10,324","11,069","11,532","12,085","12,821","14,168","15,559","17,944","19,899","21,040","21,645","20,279","21,011","24,361","25,128","26,873","31,590","35,819","31,284","36,333","41,154","43,990","49,729","57,389"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,125,162,193,229,241,239,279,286,320,365,409,403,421,447,437,535,647,767,783,786,860,849,902,902,943,"1,010","1,110","1,111","1,185","1,253","1,273","1,331","1,380","1,443","1,654","1,837","1,869","1,956","1,916"
         Workers' Compensation,152,161,173,184,198,210,240,255,348,486,525,565,634,743,897,"1,048","1,238","1,386","1,566","1,842","2,068","2,325","2,692","2,945","3,241","3,637","4,092","4,605","5,225","6,096","6,870","7,608","8,244","8,340","7,717","7,431","7,368","7,547","7,896","8,486","8,803","9,685","10,124","10,780","10,941","11,202","11,227","11,605","12,633","12,585","12,954","13,543","13,682","14,051"
         General Assistance,81,88,82,83,91,100,142,180,211,254,296,339,414,491,589,727,817,926,974,"1,093","1,301","1,536","1,704","1,833","1,945","2,104","2,140","2,141","2,171","2,487","3,171","3,367","3,596","3,100","3,308","3,091","3,061","2,836","2,616","1,641","1,481","1,928","1,875","1,730","1,819","1,730","1,935","2,159","2,410","2,123","2,244","2,432","2,591","3,040"
         Maternal/Child Health,19,29,29,30,30,34,42,45,53,63,59,65,69,67,76,82,89,94,100,111,124,127,135,139,135,151,160,169,169,170,172,189,205,205,207,201,198,204,199,208,218,218,215,216,215,219,226,238,243,233,227,203,186,173
                          Federal  ,5,9,9,9,10,14,19,23,26,30,23,29,36,31,38,43,46,48,51,52,53,53,54,57,47,53,50,52,53,54,53,58,63,62,62,59,56,54,53,54,54,54,56,56,56,56,55,55,55,55,55,54,52,51
                          State and Local,14,20,20,21,20,20,23,22,27,33,36,36,33,35,38,40,43,46,49,58,71,74,81,82,88,99,111,117,117,116,119,131,142,143,145,142,142,149,146,154,164,163,160,160,159,163,171,183,188,177,172,149,133,122
         Vocational Rehabilitation,7,8,10,13,15,19,26,46,64,72,82,94,97,103,100,99,92,96,92,91,89,96,96,93,90,86,84,83,82,83,90,90,83,74,86,82,73,70,72,82,107,120,123,124,120,116,131,118,108,118,133,132,111,107
                          Federal  ,4,5,6,8,9,13,19,34,48,55,64,73,76,80,78,77,71,75,71,70,68,73,72,70,69,66,65,65,64,64,70,70,66,56,65,63,55,52,55,61,80,92,94,95,93,89,99,89,83,90,104,104,87,82
                          State and Local,3,3,4,5,6,7,7,12,16,17,18,21,21,22,22,22,22,21,21,21,21,24,24,23,21,20,19,18,18,19,20,20,17,18,20,19,18,17,17,21,27,29,29,29,27,27,31,29,25,28,29,28,24,25
         Other Federal Programs*,178,225,295,342,351,370,263,192,199,221,322,426,430,428,439,283,341,359,389,418,412,398,348,146,172,177,182,195,203,221,244,276,299,315,303,303,337,337,377,451,637,"1,012","1,117","1,159","1,205","1,221","1,280","1,282","1,277","1,342","1,331","1,719","2,461","2,236"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,82,74,76,85,78,91,83,62,54,51,40,38,43,56,43,81,165,126,86,86,86,121,129,165,186,174,182,185,178,172,163,162,162,162,167,158,145,175,166
         Other State and Local Programs**,"2,030","2,165","2,223","2,451","2,540","2,734","2,686","2,433","2,668","2,845","3,141","3,248","3,563","3,961","4,512","4,795","4,564","4,804","5,232","5,741","5,676","6,424","6,826","6,956","6,759","7,047","9,100","10,245","10,863","10,588","10,972","10,810","10,321","11,208","12,029","10,663","10,116","9,936","10,397","10,374","9,946","10,438","11,067","12,490","13,499","14,482","15,131","15,949","16,330","16,599","17,349","17,011","16,524","16,481"
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,"1,981","4,849","5,811","6,842","8,006","9,236","10,275","11,527","13,614","16,516","19,668","22,789","25,647","29,421","35,492","42,583","48,444","53,936","59,376","63,268","66,785","71,268","76,049","84,431","94,066","109,867","127,008","140,982","153,550","165,086","173,411","179,022","180,081","188,481","195,505","214,134","230,196","243,712","263,080","283,924","297,230","315,206","333,940","356,054","371,433","380,991","396,511","409,682"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Physician and Clinical Expenditures,"5,630","5,842","6,256","7,075","8,109","8,587","9,309","10,448","11,344","12,716","14,331","15,917","17,706","19,559","22,215","25,309","28,672","33,112","35,833","41,192","47,714","55,606","61,623","68,644","77,412","90,857","100,712","112,909","128,638","143,294","158,944","176,530","191,255","202,747","212,178","222,278","231,289","242,861","258,664","271,883","290,881","315,716","340,850","367,987","393,267","417,199","438,800","461,770","486,463","503,176","518,969","540,779","565,251","586,675"
     Out of pocket,"3,384","3,438","3,613","4,049","4,658","4,897","4,858","4,843","5,138","5,780","6,462","6,883","7,376","7,805","8,458","9,092","10,102","11,387","11,644","12,913","14,220","16,160","17,366","18,642","20,725","24,268","26,999","27,998","29,542","29,874","30,087","30,738","30,312","29,314","27,641","26,044","26,798","28,322","30,030","30,848","32,491","33,876","35,385","37,601","39,742","42,652","44,608","46,830","48,593","47,843","50,866","53,318","54,096","55,350"
     Health Insurance,"1,837","1,952","2,150","2,497","2,871","3,049","3,776","4,896","5,476","6,203","6,991","8,026","9,183","10,399","12,126","13,976","16,090","18,853","20,779","24,191","28,516","33,527","37,696","42,483","47,805","55,755","61,093","70,179","82,027","94,377","107,797","122,678","135,526","146,683","157,025","167,358","174,610","183,076","194,491","205,380","222,736","243,688","265,387","287,731","310,130","330,230","349,237","368,036","390,598","409,585","420,193","438,111","456,000","472,155"
          Private Health Insurance,"1,593","1,677","1,825","2,117","2,518","2,735","2,801","2,881","3,153","3,655","4,209","4,775","5,436","6,099","6,995","7,944","9,311","11,055","12,050","14,216","16,625","19,524","21,672","24,018","27,556","33,285","35,415","40,814","49,962","58,163","66,998","77,872","86,967","94,877","100,587","106,252","110,358","114,636","122,771","128,334","138,004","150,557","163,662","178,003","189,704","202,390","211,916","222,354","232,757","237,826","241,296","249,742","259,722","267,601"
          Medicare, -   , -   , -   , -   , -   , -   ,443,"1,226","1,457","1,570","1,643","1,855","2,027","2,271","2,854","3,467","4,100","4,980","5,872","6,871","8,315","9,838","11,757","13,860","15,401","17,010","19,460","22,514","24,426","27,703","30,460","32,021","33,700","35,320","38,798","42,262","44,649","47,663","50,240","53,823","58,729","63,727","68,041","73,526","80,540","85,575","91,347","95,958","103,793","111,464","115,068","121,341","127,123","130,302"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,141,348,429,519,649,846,"1,093","1,353","1,539","1,783","1,822","1,897","1,991","2,153","2,432","2,839","2,793","3,092","3,190","3,521","4,028","4,477","4,913","5,600","7,026","9,113","11,152","12,683","13,695","14,788","15,241","16,312","16,735","17,510","19,246","21,391","23,916","25,078","27,732","29,799","31,527","33,227","35,601","39,948","42,626","44,311","45,527","50,123"
                          Federal  , -   , -   , -   , -   , -   , -   ,68,169,223,286,349,481,594,706,873,976,"1,041","1,075","1,103","1,215","1,366","1,603","1,582","1,761","1,798","1,977","2,280","2,540","2,847","3,272","4,119","5,305","6,678","7,658","8,073","8,628","8,954","9,491","9,799","10,256","11,357","12,666","14,140","15,508","16,995","17,818","18,773","19,624","21,985","27,609","29,718","28,116","27,805","31,371"
                          State and Local, -   , -   , -   , -   , -   , -   ,73,180,207,233,300,365,499,647,666,807,780,822,888,937,"1,066","1,235","1,211","1,331","1,392","1,544","1,748","1,937","2,065","2,327","2,907","3,808","4,474","5,025","5,622","6,160","6,287","6,821","6,936","7,254","7,889","8,725","9,776","9,570","10,736","11,981","12,754","13,604","13,616","12,338","12,908","16,194","17,721","18,752"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,56,494,731,"1,001","1,192","1,435","1,607","1,656","2,520","2,654","2,746","2,974","3,074","3,051","3,223","3,534"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,39,338,506,702,840,"1,015","1,127","1,161","1,718","1,834","1,906","2,070","2,128","2,121","2,232","2,450"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,155,226,299,351,421,480,495,802,820,840,903,946,931,991,"1,085"
         Department of Defense,218,248,298,352,324,284,359,408,403,420,448,502,568,605,659,681,728,798,717,797,971,"1,131","1,250","1,264","1,389","1,662","1,872","2,019","2,351","2,530","2,893","3,201","3,198","3,229","3,303","3,357","3,551","3,584","3,700","4,128","4,718","5,479","6,820","7,509","8,161","8,308","9,226","10,271","11,394","12,071","12,350","13,297","13,839","13,548"
         Department of Veterans Affairs,25,27,27,28,29,30,31,32,34,39,41,48,59,70,80,100,129,123,148,154,173,195,224,248,268,277,318,354,376,382,419,471,510,574,642,698,810,881,988,"1,092","1,307","1,534","1,757","2,179","2,386","2,503","2,700","3,571","4,305","5,302","5,779","6,369","6,567","7,046"
     Other Third Party Payers and Programs,409,452,493,529,579,641,675,709,730,733,878,"1,008","1,147","1,355","1,631","2,241","2,480","2,872","3,409","4,088","4,977","5,918","6,561","7,520","8,883","10,835","12,620","14,732","17,069","19,043","21,061","23,114","25,417","26,750","27,512","28,876","29,881","31,463","34,143","35,654","35,654","38,151","40,079","42,654","43,395","44,317","44,955","46,905","47,272","45,748","47,910","49,350","55,155","59,170"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues,73,78,84,93,106,128,150,156,176,199,225,255,302,359,428,514,626,786,"1,061","1,434","1,848","2,487","3,009","3,594","4,534","5,781","6,880","8,144","9,409","10,586","11,306","12,411","13,781","14,895","16,174","17,574","18,822","20,089","22,060","22,755","21,980","22,949","24,219","25,734","26,207","26,929","27,690","29,015","28,014","26,699","28,478","28,490","33,570","37,115"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,41,56,65,79,99,127,133,130,146,167,192,195,213,231,227,279,339,404,414,419,464,458,495,503,526,568,626,626,665,699,703,726,751,785,881,983,"1,003","1,048","1,020"
         Workers' Compensation,252,267,288,305,328,348,393,443,424,370,454,486,530,634,747,853,985,"1,127","1,222","1,448","1,612","1,806","2,032","2,274","2,652","3,289","3,853","4,504","5,346","6,355","7,175","8,011","8,689","8,803","8,183","7,994","7,980","8,292","8,966","9,652","10,132","11,197","11,668","12,410","12,522","12,624","12,427","12,718","13,849","13,350","13,508","14,189","14,287","14,642"
         General Assistance,9,10,9,9,9,9,19,24,32,41,51,62,79,99,123,152,176,202,224,245,313,354,380,422,473,524,604,665,712,610,625,576,645,656,613,633,625,638,625,464,469,504,498,607,623,638,696,790,893,993,979,984,977,873
         Maternal/Child Health,4,7,8,10,11,14,20,25,31,38,33,38,43,40,46,51,55,58,62,66,72,72,74,79,76,94,100,109,114,118,118,131,142,142,144,140,138,141,142,148,155,156,155,155,154,154,154,159,161,151,147,135,125,117
                          Federal  ,2,3,4,4,5,8,13,18,22,26,20,26,32,27,33,37,40,42,45,46,47,46,46,50,43,53,52,57,60,63,62,68,74,73,74,71,68,67,67,69,69,70,72,72,72,70,68,68,67,66,65,64,62,60
                          State and Local,2,3,4,5,6,6,7,7,9,12,12,13,12,13,13,14,15,16,17,21,25,26,28,29,33,41,47,52,54,55,56,63,68,68,70,69,70,74,75,79,86,85,83,84,82,83,86,91,94,86,82,71,64,58
         Vocational Rehabilitation,8,9,10,11,12,15,23,30,34,39,49,58,59,58,67,73,81,85,86,88,87,85,88,101,111,118,125,138,148,151,150,160,172,175,182,184,184,196,200,199,201,210,218,221,222,220,235,242,246,256,269,266,270,270
                          Federal  ,5,6,6,7,7,10,16,22,26,30,38,45,46,46,52,57,64,66,66,67,67,64,65,74,84,90,95,106,114,117,115,123,131,131,136,138,137,148,151,151,152,160,167,170,171,170,178,181,188,197,210,208,209,210
                          State and Local,3,4,4,4,5,5,6,8,9,9,11,13,13,13,15,16,18,19,20,21,21,21,24,26,28,29,30,32,34,34,35,37,41,44,46,46,47,48,49,48,49,50,51,52,51,50,57,61,58,59,59,58,61,60
         Other Federal Programs*,29,39,49,54,52,52,31,14,18,29,53,93,119,149,204,184,155,179,242,299,419,504,469,550,515,540,558,577,595,590,660,715,782,809,858,874,898,931,979,"1,094","1,256","1,529","1,673","1,824","1,910","1,991","1,982","2,188","2,288","2,367","2,533","3,306","3,750","4,050"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,355,328,351,410,388,476,454,356,330,330,274,281,355,484,373,717,740,769,829,914,982,743,644,635,785,864,942,969,985,"1,003","1,002",988,983,975,990,951,912,"1,062","1,014"
         Other State and Local Programs**,34,41,46,47,61,74,41,17,15,16,13,16,15,16,16,18,18,19,23,21,22,23,24,25,24,24,26,27,30,31,30,32,34,26,25,32,34,36,34,31,30,39,52,53,55,56,58,59,61,62,63,65,67,69
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,584,"1,574","1,886","2,089","2,292","2,701","3,120","3,624","4,393","5,250","5,922","6,877","7,863","9,024","10,747","12,677","14,550","16,952","18,591","20,531","23,488","26,991","29,339","33,303","37,486","41,134","44,852","48,003","52,493","57,050","59,890","63,975","67,031","71,827","78,706","86,119","93,149","100,039","109,879","117,030","125,394","131,839","142,140","154,386","160,768","168,703","175,873","183,959"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dental Services Expenditures,"1,987","2,103","2,224","2,371","2,616","2,818","2,992","3,446","3,704","4,216","4,711","5,226","5,566","6,379","7,139","8,023","9,042","10,129","11,039","11,984","13,426","15,817","17,085","18,408","19,980","21,819","23,293","25,455","27,531","29,517","31,742","33,545","37,285","39,160","41,715","44,775","47,105","50,457","53,780","57,448","62,271","67,821","73,684","76,279","82,053","87,017","91,442","97,338","102,369","102,482","105,378","107,643","109,971","110,970"
     Out of pocket,"1,907","2,018","2,135","2,275","2,516","2,704","2,827","3,150","3,322","3,789","4,241","4,671","4,933","5,605","6,129","6,532","6,963","7,584","7,918","8,237","8,838","10,084","10,550","11,010","11,575","12,242","12,658","13,118","13,845","14,485","15,264","15,757","17,149","17,493","18,336","19,369","20,137","22,138","23,765","25,232","27,651","29,332","32,308","33,758","36,073","38,301","40,193","42,975","45,444","43,053","43,771","45,047","46,333","47,123"
     Health Insurance,64,64,66,71,71,81,146,284,362,403,449,530,604,739,965,"1,433","2,009","2,459","3,026","3,647","4,475","5,592","6,388","7,245","8,245","9,390","10,446","12,148","13,501","14,840","16,298","17,587","19,913","21,430","23,125","25,142","26,680","28,009","29,708","31,907","34,271","38,155","41,060","42,238","45,669","48,388","50,898","53,980","56,502","58,944","61,061","62,081","63,107","63,305"
          Private Health Insurance,38,37,38,41,43,55,68,104,113,180,212,248,292,378,550,939,"1,486","1,909","2,502","3,070","3,813","4,838","5,730","6,580","7,618","8,684","9,680","11,331","12,647","13,953","15,269","16,324","18,391","19,405","21,029","22,961","24,417","25,624","27,122","29,209","31,284","34,336","36,554","37,398","40,514","42,897","45,117","47,590","49,055","49,945","51,152","52,064","52,926","52,624"
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,1,2,2,16,17,34,40,54,74,89,99,78,81,86,79,70,71,86,103,164,221,296,242,294,368,475
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,43,138,201,168,162,179,183,228,295,364,390,424,392,440,503,581,485,501,456,510,554,591,617,638,756,945,"1,196","1,675","1,741","1,807","1,872","1,975","2,124","2,141","2,316","2,990","3,472","3,748","3,925","4,147","4,275","4,556","5,470","6,766","7,384","7,269","7,230","7,506"
                          Federal  , -   , -   , -   , -   , -   , -   ,21,67,104,93,87,101,100,120,166,200,233,241,217,247,275,317,264,273,249,277,304,324,345,359,425,529,684,950,960,994,"1,042","1,101","1,187","1,204","1,311","1,684","1,954","2,211","2,303","2,382","2,454","2,624","3,290","4,583","5,089","4,469","4,185","4,344"
                          State and Local, -   , -   , -   , -   , -   , -   ,22,71,98,75,75,77,83,109,128,164,158,184,175,192,227,264,221,228,207,233,250,267,272,279,331,417,512,724,782,813,830,874,937,937,"1,004","1,306","1,518","1,538","1,622","1,765","1,821","1,932","2,180","2,183","2,295","2,800","3,045","3,162"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,32,146,234,328,452,391,401,464,489,665,702,764,"1,042","1,141","1,325","1,497"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22,103,165,234,324,283,288,331,348,474,502,544,728,797,924,"1,029"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,44,69,94,128,108,113,133,141,191,200,220,314,344,401,468
         Department of Defense,25,26,27,29,27,26,34,41,44,46,50,60,78,80,76,77,77,81,87,97,111,127,142,146,157,183,200,213,225,239,263,292,294,305,303,309,305,309,321,323,346,403,491,614,733,750,847,942,989,"1,095","1,168","1,233","1,183","1,125"
         Department of Veterans Affairs,1,1,1,1,1,1,1,2,3,9,26,43,51,52,44,53,56,44,45,40,49,45,30,18,13,12,11,10,10,8,8,10,14,12,11,12,12,12,11,10,11,12,13,17,26,44,68,62,65,77,73,80,75,79
     Other Third Party Payers and Programs,16,21,23,25,30,32,19,12,20,23,21,24,29,35,45,58,70,86,94,101,113,141,147,154,161,187,189,189,185,192,180,201,223,237,255,263,288,310,307,308,348,335,316,283,311,328,351,383,423,486,546,515,532,542
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,7,11,15,19,22,27,27,39,43,44,51,73,81,86,80,84,61,65,68,74,80,82,120,130,134,142,173,141,70,43,49,56,61,64,71,78,89,86,97,138
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,14,16,19,21,22,24,24,27,31,35,33,34,37,34,41,54,66,68,71,80,78,84,86,93,105,119,116,125,134,138,148,155,165,182,198,200,210,208
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance,1,1,1,1,1,1,1,3,8,9,11,13,16,19,23,24,28,37,37,37,47,60,62,64,62,60,55,47,46,52,58,60,64,70,79,76,65,70,61,46,41,45,100,86,100,105,113,134,157,198,233,197,182,158
         Maternal/Child Health,2,3,3,3,2,2,3,6,8,9,8,10,11,10,11,12,13,14,15,16,18,18,18,18,17,20,20,22,22,21,21,22,24,24,25,25,25,26,26,28,30,30,30,29,29,29,29,30,30,28,27,24,22,21
                          Federal  ,1,1,1,1,1,1,2,4,5,6,5,6,8,6,8,9,9,10,10,11,11,11,11,11,9,11,10,11,11,11,10,11,12,12,12,12,11,12,12,12,12,13,13,12,12,12,12,12,12,11,11,11,10,10
                          State and Local,1,2,2,2,1,1,1,2,3,3,3,3,3,3,4,4,4,4,5,5,7,7,7,7,8,9,10,11,11,11,11,11,12,12,13,13,13,15,15,16,17,17,17,16,16,16,17,18,19,16,16,13,12,11
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,7,10,11,13,14,13,7,3,3,3,1,2,2,3,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,21,17
